Date,Open,Close,Low,High,Volume,,MACD,,
1908-12-31,63.47,62.39,60.45,63.49,0,,1.764734695,,
1909-01-31,61.75,61.29,61.18,62.97,0,,1.617972874,,
1909-02-28,61.16,58.91,57.87,62.81,0,,1.292776868,,
1909-03-31,59.91,62.37,59.13,62.37,0,,1.24253774,,
1909-04-30,61.83,63.94,61.83,63.94,0,,1.243822494,,
1909-05-31,64.28,66.76,64.28,66.76,0,,1.354271227,,
1909-06-30,66.91,66.83,64.94,68.22,0,,1.34876669,,
1909-07-31,67.32,69.65,67.22,69.65,0,,1.443297908,,
1909-08-31,70.63,70.9,69.75,71.78,0,,1.492090818,,
1909-09-30,70.61,72.1,69.43,72.51,0,,1.503066377,,
1909-10-31,72.69,71.68,69.68,72.69,0,,1.382952988,,
1909-11-30,72.02,69.54,69.45,72.81,0,,1.074053718,,
1909-12-31,70.17,71.74,70.01,71.9,0,,0.9375408,,
1910-01-31,71.22,66.57,65.66,71.22,0,,0.443759514,,
1910-02-28,66.15,66.15,61.58,66.15,0,,0.054056651,,
1910-03-31,66.46,64.97,64.8,68.48,0,,-0.298607634,,
1910-04-30,64.97,63.13,62.5,66.89,0,,-0.651008683,,
1910-05-31,61.93,62.52,61.36,64.7,0,,-0.904791787,,
1910-06-30,62.06,58.79,58.79,62.49,0,,-1.280508254,,
1910-07-31,59.13,56.18,53.32,59.13,0,,-1.63856019,,
1910-08-31,55.14,57.71,55.14,58.96,0,,-1.698830928,,
1910-09-30,56.91,57.74,56.74,57.74,0,,-1.661153205,,
1910-10-31,58.43,61.39,58.43,62.3,0,,-1.329252366,,
1910-11-30,61.63,59.77,59.77,62.18,0,,-1.163626421,,
1910-12-31,58.98,58.96,57.71,59.5,0,,-1.056556296,,
1911-01-31,59.47,61.51,59.17,61.51,0,,-0.774965162,,
1911-02-28,61.8,61.58,61.08,62.26,0,,-0.555250618,,
1911-03-31,61.22,60.31,59.62,61.22,0,,-0.470087061,,
1911-04-30,60.35,60.34,59.07,60.35,0,,-0.389687484,,
1911-05-31,60.94,61.96,59.82,62.58,0,,-0.214130294,,
1911-06-30,62.13,62.27,62.13,63.05,0,,-0.071246248,,
1911-07-31,62.02,62.3,61.76,62.63,0,,0.025962126,,
